urgencia,ubicacion,ubicacion_especifica,piso,es_fase_2,tipo,fecha_hora
low,counter admisión,,1,False,plagio,2025-02-17 06:52:00
low,entrada fase 2,,1,True,plagio,2025-06-03 18:34:00
medium,dirección general,,10,False,plagio,2025-04-15 15:46:00
medium,jardines,,6,False,plagio,2025-03-09 17:33:00
low,listo,,1,False,plagio,2025-06-05 23:41:00
high,aula magna,,-1,True,comportamiento,2025-06-02 09:48:00
low,laboratorio,L104,1,True,plagio,2025-09-10 03:26:00
medium,almacén,,-1,True,comportamiento,2025-04-29 12:40:00
medium,sala sum,,1,False,plagio,2025-03-30 02:37:00
low,sala de estudio,E1008,10,False,plagio,2025-09-04 02:42:00
low,listo,,1,False,plagio,2025-02-27 02:46:00
medium,entrada fase 2,,1,True,plagio,2025-03-26 08:00:00
low,aula,A704,7,False,plagio,2025-07-06 14:48:00
high,almacén,,-1,True,comportamiento,2025-09-29 23:07:00
low,estacionamiento,,-1,False,plagio,2025-09-18 04:13:00
high,aula,A502,5,False,plagio,2025-01-04 16:42:00
medium,lia cook,,11,False,agresión,2025-01-13 11:59:00
medium,counter admisión,,1,False,plagio,2025-05-16 05:27:00
low,entrada fase 2,,1,True,agresión,2025-07-25 16:50:00
low,sala de estudio,E816,8,False,plagio,2025-10-05 19:48:00
low,comedor,,1,True,plagio,2025-02-18 16:58:00
low,sala de estudio,E1006,10,False,comportamiento,2025-10-22 08:16:00
low,entrada fase 2,,1,True,plagio,2025-10-06 10:16:00
medium,sala sum,,1,False,plagio,2025-04-20 15:16:00
medium,sala de estudio,E805,8,False,plagio,2025-09-28 07:59:00
medium,counter alumnos,,1,False,plagio,2025-02-22 04:03:00
low,aula magna,,-1,True,discriminación,2025-10-18 15:49:00
low,counter admisión,,1,False,plagio,2025-08-25 00:04:00
high,almacén,,-1,True,comportamiento,2025-10-13 23:50:00
low,entrada fase 2,,1,True,plagio,2025-03-09 14:22:00
low,aula,A802,8,False,plagio,2025-03-10 13:47:00
medium,counter alumnos,,1,False,plagio,2025-06-17 03:04:00
medium,dirección general,,10,False,plagio,2025-08-20 01:39:00
low,sala sum,,1,False,agresión,2025-08-20 12:43:00
low,estacionamiento,,-1,False,agresión,2025-02-15 23:34:00
medium,jardines,,6,False,comportamiento,2025-10-24 04:24:00
medium,patio,,-1,True,comportamiento,2025-04-25 11:13:00
high,patio,,-1,True,plagio,2025-02-25 07:19:00
low,entrada,,1,False,plagio,2025-08-25 08:12:00
medium,auditorio,,-1,False,plagio,2025-08-14 00:55:00
medium,entrada fase 2,,1,True,plagio,2025-01-15 16:22:00
medium,jardines,,6,False,comportamiento,2025-08-03 21:25:00
low,sala de estudio,E807,8,False,plagio,2025-03-07 13:44:00
low,counter admisión,,1,False,plagio,2025-02-20 18:11:00
low,oficina,P616,6,False,agresión,2025-05-04 13:22:00
medium,aula,M601,6,False,plagio,2025-05-25 19:24:00
low,el café,,6,False,plagio,2025-07-25 06:56:00
low,el café,,6,False,plagio,2025-08-12 03:53:00
low,aula magna,,-1,True,plagio,2025-07-18 15:23:00
medium,comedor,,1,True,comportamiento,2025-06-30 23:02:00
medium,estacionamiento,,-1,False,comportamiento,2025-06-17 20:16:00
low,lia cook,,11,False,plagio,2025-05-24 01:35:00
medium,aula,A602,6,False,plagio,2025-08-18 09:47:00
medium,almacén,,-1,True,agresión,2025-09-26 00:52:00
low,entrada,,1,False,plagio,2025-07-27 05:21:00
low,entrada fase 2,,1,True,plagio,2025-06-26 08:57:00
medium,entrada,,1,False,plagio,2025-08-16 18:41:00
low,sala de estudio,E1010,10,False,comportamiento,2025-02-28 18:30:00
low,estacionamiento,,-1,False,plagio,2025-09-14 21:37:00
low,counter alumnos,,1,False,plagio,2025-02-17 23:26:00
medium,counter admisión,,1,False,plagio,2025-09-26 00:21:00
medium,el café,,6,False,plagio,2025-01-02 12:48:00
high,dirección general,,10,False,plagio,2025-04-15 19:13:00
medium,estacionamiento,,-1,False,plagio,2025-03-05 22:57:00
low,entrada fase 2,,1,True,plagio,2025-05-12 22:01:00
low,comedor,,1,True,comportamiento,2025-03-05 14:59:00
high,auditorio,,-1,False,plagio,2025-01-10 07:53:00
low,listo,,1,False,comportamiento,2025-04-18 02:07:00
low,counter alumnos,,1,False,plagio,2025-05-11 19:51:00
medium,sala de estudio,E809,8,False,comportamiento,2025-09-18 14:48:00
medium,sala de estudio,E802,8,False,plagio,2025-05-28 13:53:00
medium,sala de estudio,E812,8,False,plagio,2025-03-16 18:15:00
low,counter admisión,,1,False,plagio,2025-05-17 21:30:00
high,dirección general,,10,False,discriminación,2025-02-22 13:39:00
medium,entrada fase 2,,1,True,plagio,2025-03-10 13:21:00
low,listo,,1,False,plagio,2025-06-28 17:07:00
low,laboratorio,L410,4,False,comportamiento,2025-04-01 03:12:00
low,sala sum,,1,False,discriminación,2025-10-26 18:34:00
low,entrada fase 2,,1,True,plagio,2025-04-11 02:49:00
low,aula magna,,-1,True,plagio,2025-04-22 03:44:00
medium,el café,,6,False,plagio,2025-07-19 21:56:00
medium,lia cook,,11,False,plagio,2025-01-19 03:14:00
medium,oficina,P502,5,False,comportamiento,2025-10-17 12:47:00
low,counter admisión,,1,False,plagio,2025-01-31 16:33:00
low,sala sum,,1,False,plagio,2025-08-12 07:16:00
low,entrada,,1,False,plagio,2025-08-20 00:49:00
low,jardines,,6,False,plagio,2025-07-15 09:28:00
low,entrada fase 2,,1,True,agresión,2025-06-07 19:58:00
low,oficina,P208,2,True,plagio,2025-09-27 10:14:00
low,entrada fase 2,,1,True,plagio,2025-08-22 10:56:00
low,lia cook,,11,False,agresión,2025-06-12 14:58:00
medium,aula,A803,8,False,plagio,2025-04-20 11:06:00
low,patio,,-1,True,comportamiento,2025-03-15 20:40:00
medium,counter alumnos,,1,False,agresión,2025-04-22 22:55:00
low,almacén,,-1,True,plagio,2025-09-16 19:05:00
low,lia cook,,11,False,plagio,2025-10-17 17:12:00
low,counter admisión,,1,False,plagio,2025-10-26 17:45:00
low,almacén,,-1,True,plagio,2025-09-20 08:22:00
